timestamp,rpm,temperature,humidity,gasdiff,status
2024-09-17 21:42:02,0,0,0,0,error with humidity
2024-09-17 21:44:20,0,0,0,0,error with humidity
2024-09-17 21:44:31,0,0,0,0,error with humidity
2024-09-17 21:44:41,0,0,0,0,error with humidity
2024-09-17 21:44:53,0,0,0,0,error with humidity
2024-09-17 21:45:03,0,0,0,0,error with humidity
2024-09-17 22:07:30,0,0,0,0,error with humidity
2024-09-17 22:07:41,0,0,0,0,error with humidity
2024-09-17 22:07:51,0,0,0,0,error with humidity
2024-09-17 22:12:07,0,0,0,0,error with humidity
